
@relation classify-sentiment

@attribute text string
@attribute class {negativo,positivo,neutro}

@data

':(',negativo
':/',negativo
'-1, fui na agência e mesmo la não resolveram o problema',negativo
'👎 ruim',negativo
'👎',negativo
'a atualização fez o aplicativo parar',negativo
'a cada atualização só piora',negativo
'a cada nova operação que se deseja realizar ele realiza um carregamento, isso deveria ser corrigido',negativo
'a câmera não lê o código de barras',negativo
'a forma como são apresentados é muito confuso',negativo
'a forma é muito confusa',negativo
'a gente faz uma compra hoje e vai aparecer na fatura muitos dias depois',negativo
'a mesma conta que este não consegue ler, com outro lê na primeira tentativa',negativo
'a minha só negada',negativo
'a opção de enviar não funciona',negativo
'a opção do cartão de crédito deveria ser melhor',negativo
'a senha para caixa eletrônico não é aceita, tento com a chave também não aceita',negativo
'a versão anterior ao menos abria',negativo
'a versão antiga era muito clara e fácil de mexer,a de agora nao e boa',negativo
'abri a conta a 2 semanas nao me retornam pra falar nada o app paralizou nao aparece nada nem sei se me aprovaram travou o app afff',negativo
'abro o aplicativo na plystore e ele diz que já está atualizado',negativo
'acabei de atualizar e agora não abre, da erro de conexão',negativo
'acabei de atualizar e agora não abre',negativo
'achei que era ruim, mas é bem bom',negativo
'achei que era ruim, mas é pior',negativo
'achei que era ruim, mas me apavorei',negativo
'achei que o app do bb era ruim, mas me apavorei ao usar o do sicredi',negativo
'acho bem ruim não poder consultar o limite do meu cartão de crédito pelo app',negativo
'acho bem ruim não poder consultar',negativo
'acho bem ruim',negativo
'aconteceu na atualização que não consigo mais usar',negativo
'adicionar ao lançamentos futuros a data/valor de empréstimos realizados por exemplo',negativo
'adoro o sicredi mas fico triste com isso',negativo
'aff',negativo
'agora aparece o espaço para senha, digito ela, mas não entra na conta',negativo
'agora cada vez que formato meu celular tenho que ir até o sicredi pegar um token, isso é pessimo deem um jeito nisso',negativo
'agora cada vez que formato meu celular tenho que ir até o sicredi pegar um token',negativo
'agora com essa nova atualização nem se quer consigo ver o meu saldo',negativo
'agora consigo digitar a senha..mas não está acessando o app',negativo
'agora já faz tempo que não funciona',negativo
'agora não abre, da erro de conexão',negativo
'agora nâo está aceitando que eu faça transferências para outro banco, nem mesmo da minha poupança para minha conta corrente',negativo
'agora nem acessar a conta consigo mais',negativo
'agora parou de funcionar',negativo
'agora terei que usar de outro',negativo
'agora terei que usar o app de outro banco',negativo
'aí começa de novo, já ficou chato',negativo
'aí vou na agência minha gerente de conta libera',negativo
'ainda aparece que nao foi paga',negativo
'ainda continua lento',negativo
'ainda falta muita funcionalidade, como por exemplo, mostrar onde foi realizada a compra no débito, fazer recarga de celular, entre outros',negativo
'ainda falta muita funcionalidade',negativo
'ainda faltam muitos recursos',negativo
'ainda não entendi o motivo da retirada',negativo
'ainda não entendi o motivo',negativo
'além de limite flexível e troca de senha',negativo
'além de ter ficado péssimo com as últimas atualizações, tem poucos recursos',negativo
'algo que deveria facilitar meus dias, só está dando dor de cabeça',negativo
'alguém pode me ajudar',negativo
'algumas demoram dias para aparecer',negativo
'alguns bugs e falta de mais recursos',negativo
'alguns bugs',negativo
'antes fosse ruim, pois é horrível',negativo
'ao acessar o app trava e cai',negativo
'aparece mas da um erro',negativo
'aparece meu nome quando conecta mais embaixo pede uma senha, que senha é essa alguem pode me ajudar',negativo
'aparece no aplicativo mas da um erro',negativo
'aparece o item, mas não aparece a data',negativo
'aparece senha inválida',negativo
'aparece um aviso senha bloqueada',negativo
'aparece um aviso senha bloqueada',negativo
'aparece um, mas não aparece outro',negativo
'aparece uma mensagem dizendo que ocorreu um erro inesperado, tente novamente mais tarde',negativo
'apenas consigo consultar',negativo
'apenas uma observação para possível correção',negativo
'aplicativo após atualizado não funciona mais no meu celular',negativo
'aplicativo bom, mas poderia ter a opção de fazer transferência de conta poupança para conta corrente em finais de semana',negativo
'aplicativo bom, porém tranca muito',negativo
'aplicativo de difícil acesso',negativo
'aplicativo falhando',negativo
'aplicativo lento, com muitos erros e bugs',negativo
'aplicativo lento, quem tem internet ruim sofre',negativo
'aplicativo lento',negativo
'aplicativo limitado',negativo
'aplicativo muito lento, trava demais',negativo
'aplicativo não funciona após a última atualização',negativo
'aplicativo problemático',negativo
'aplicativo ruim',negativo
'aplicativo simplesmente não funciona, não carrega saldo da conta, extrato, não faz transferência',negativo
'após a atualização app não abre',negativo
'após a atualização do app, não consigo entrar na conta',negativo
'após a atualização do app, não consigo logar',negativo
'após a instalação não aparece os itens demonstrados não imagens do app',negativo
'após a última atualização parou tudo',negativo
'após a última atualização pra android não consegue abrir para após a senha',negativo
'após atualização do app, não consigo entrar',negativo
'após atualização do app, não consigo mais colocar a senha para entrar na conta',negativo
'após digitar a senha não acessa',negativo
'após digitar a senha não loga/entra/acessa',negativo
'após esta atualização, campo da senha sumiu, o app não abre',negativo
'após instalação não abre para digitar senha númerica',negativo
'app complicado, tá dizendo que o app não funciona em dispositivos root sendo que nein root meu aparelho tem chatoo isso',negativo
'app é lento demais',negativo
'app é muito fraco',negativo
'app extremamente lento para realizar as operações, precisam buscar a mesma tecnologia de outros bancos',negativo
'app falta agilidade na atualização das transações, demora muito',negativo
'app faz o q promete mas único problema é q demora pra entrar os gastos com o crédito',negativo
'app faz o q promete',negativo
'app limitado',negativo
'app não abre mais',negativo
'app não abre',negativo
'app nao esta funcionado..lamentável',negativo
'app não está liberado a opção, e melhor da uma melhorada',negativo
'app não funciona não tem espaço digitar senha é da erro',negativo
'app não pede senha pra entrar na conta e já consta senha inválida',negativo
'app péssimo',negativo
'app precisa melhorar',negativo
'app ruim, não é auto explicativo',negativo
'app ruim',negativo
'app tá péssimo',negativo
'app tranca ao abrir',negativo
'app trava após a instalação e quando reabro e digito meus dados, ele não sai da tela inicial',negativo
'app trava',negativo
'apresenta problemas em varias telas',negativo
'arruma isso aí pra gente',negativo
'arruma isso aí',negativo
'arruma logo isso',negativo
'arrumem esse problema por favor',negativo
'arrumem isso logo não sei o que está acontecendo e preciso acessá com urgência minha conta 😡',negativo
'arrumem isso pf',negativo
'arrumem por favor',negativo
'arrumem por favor',negativo
'as comprar realizadas não são monitoradas em tempo real',negativo
'as compras nao cai na hr',negativo
'as compras no cartão de crédito não é em tempo real',negativo
'as operações são absolutamente limitadas',negativo
'as vezes aparece uns erros, mas nada como uma atualização não possa resolver',negativo
'as vezes aparece uns erros',negativo
'as vezes demora para atualisar movimentos na conta e compras no cartao',negativo
'as vezes demora',negativo
'assim como várias reclamações de usuários que li abaixo, o meu aplicativo tb não abre',negativo
'assim que consertarem o aplicativo mudarei minha opinião',negativo
'até agora meu problema não foi resolvido',negativo
'até agora não consegui descobrir aonde que mostra as minhas compras no cartão',negativo
'até agora não consegui descobrir',negativo
'atenção zero',negativo
'atendimento muito ruim',negativo
'atualização deficiente, não acompanha transações reais',negativo
'atualização deficiente',negativo
'atualizar em tempo real o limite e compras gastas, assim como a projeção do parcelado para os próximos meses',negativo
'atualizei e nunca mais consegui entrar na minha conta',negativo
'atualizei o meu app e não consigo fazer pagamentos',negativo
'atualizo e não funcionou mais desde dia 23 agosto',negativo
'baixei de nv e nada',negativo
'baixei más aperece sistema indisponível',negativo
'baixei muitas vezes e nunca funcionou sempre da erro no login nunca aceita a agencia',negativo
'baixei o app fiz tudo certinho mas na hora e mandar as fotos não entra poxa',negativo
'banco péssimo',negativo
'boa tarde alguem sabe m dizer se existe uma opcao nesse app para conta salario, pois nao estou conseguindo',negativo
'bom app mas não consigo acompanhar os gastos do cartão de crédito',negativo
'bom app porém podia haver opção de deixar 2 contas cadastradas e salvas, na tela inicial',negativo
'bom mas não consigo',negativo
'bom mas não pode melhorar',negativo
'bom so q tem q ficar atualizando direto',negativo
'bom, ainda precisa melhorar',negativo
'botão de exportar em planilha no detalhamento do cartão, não está funcionando',negativo
'bug é contínuo',negativo
'bugs demais',negativo
'bugs',negativo
'cada nova atualização o token para de funcionar e eu preciso ir até a agência para pedir para corrigir isso',negativo
'cada nova atualização para de funcionar',negativo
'cada vez que atualiza desabilita meu token ou da conta física ou da jurídica',negativo
'cadê a segurança',negativo
'cai muito',negativo
'cancelei minha conta, estou só esperando encerrar',negativo
'cancelei minha conta',negativo
'cansei de desinstalar e fui até o banco e não consigo de nenhuma maneira',negativo
'carrega carrega e n sai do logo do sicredi',negativo
'cartão de crédito precisa melhorar trava muito e n tem como consultar cartão de crédito',negativo
'chega a ser cômico',negativo
'chega ficar dias sem ser atualizado',negativo
'cheio de coisas desnecessárias sempre atrapalhando',negativo
'cheio de coisas desnecessárias',negativo
'clico no botão entra mas ele não da sinal algum',negativo
'coisa simples nao tem',negativo
'coisa simples que falta',negativo
'coisa simples que outros aplicativos possuem',negativo
'colabora aí',negativo
'colocar opção de visualização da conta capital',negativo
'coloco a senha e não vai adiante',negativo
'com a última atualização não estou conseguindo acessar',negativo
'com esta atualização o aplicativo ficou horrível',negativo
'com tantas datas para fazer a atualização, deixam dar este problema justo agora',negativo
'comandos confusos e repetitivos',negativo
'comandos confusos',negativo
'comandos repetitivos',negativo
'como usar um aplicativo assim',negativo
'complicado',negativo
'continua o aviso de falha na conectividade, mas minha internet está funcionando',negativo
'continua uma falta de criatividade',negativo
'corrijam esses erros',negativo
'corrijam isso por favor',negativo
'corrijam o maos rapido possível, por favor',negativo
'corrijam urgentemente',negativo
'cria transtorno de ir na agência desbloquear',negativo
'crítica: estranho usar cartão débito, quando vc olha fatura no app, nunca aparece o nome do estabelecimento que vc comprou',negativo
'critica: não estou conseguindo acessar o app',negativo
'dá dor de cabeça',negativo
'da erro de conexão',negativo
'da erro no sistema',negativo
'dá pra melhorar um pouquinho',negativo
'da pra melhorar',negativo
'da problema demais',negativo
'da uma mensagem dizendo ocorreu um erro inesperado, tente novamente mais tarde',negativo
'dá unidade de atendimento inválida',negativo
'dando erros direto',negativo
'de um tempo pra ca nao consigo fazer pagamentos',negativo
'decepcionado',negativo
'deem um jeito nisso',negativo
'dei cinco estrelas mas precisa melhorar',negativo
'deixa a desejar em relação ao monitoramento',negativo
'deixam dar este problema justo agora',negativo
'demais nao carrega os dados',negativo
'demora dias para atualizar, sem falar que quando paga a fatura demora muito para liberar o credito',negativo
'demora dias para atualizar',negativo
'demora horas',negativo
'demora muito para liberar',negativo
'demora muito',negativo
'demora muito',negativo
'demora muito',negativo
'demora para atualizar',negativo
'demora pra abrir e fica piscando várias vezes até abrir',negativo
'demora pra abrir',negativo
'demora pra atualizar as informações de saldo',negativo
'demora pra carregar',negativo
'demorou horas',negativo
'demorou horas',negativo
'demorou um pouco mais foi aprovado e com limite inicial de 500 reais',negativo
'dependia do app',negativo
'depois da atualização de ontem não abre mais no meu celular',negativo
'depois da atualização do app, não consigo fazer login',negativo
'depois da atualização ele não entra mais',negativo
'depois da atualização não aparece pra por a senha, por favor verifica o que está acontecendo',negativo
'depois da atualização o aplicativo nao funciona',negativo
'depois da atualização parou de funcionar',negativo
'depois da atualização sem senha ele não funciona mais',negativo
'depois da nova atualização, o app ficou péssimo',negativo
'depois da terceira tentativa o app é bloqueado',negativo
'depois da última atualização está um verdadeiro lixo, não abre',negativo
'depois da última atualização não consegui mais acessar',negativo
'depois da última atualização não consigo mais acessar',negativo
'depois da última atualização não consigo mais fazer pesquisas',negativo
'depois da última atualização não consigo mais pagar meus boletos',negativo
'depois da última atualização o app ficou mais exposto a insegurança, não solicita mais senha para transferências, cada vez pior',negativo
'depois da última atualização o app não funciona mais',negativo
'depois da última atualização o leitor de código de barras não está funcionando',negativo
'depois da ultima atualização, ao realizar uma transação ele diz que senha token esta errada mesmo nao precisando digitar a senha',negativo
'depois da última atualização, sumiu uma opção',negativo
'depois das últimas atualizações está péssimo',negativo
'depois de atualizar não tem mais a opção que tinha',negativo
'depois de digitar a senha não loga',negativo
'depois dessa atualização ficou um lixo',negativo
'depois dessa atualização não consigo acessar o app, ficando menos seguro já que a senha está junto no app',negativo
'depois dessa atualização o campo da senha sumiu, já reinstalei várias vezes e não corrigiu o erro',negativo
'depois dessa última atualização também não estou conseguindo acessar',negativo
'depois desta última atualização o app demonstrou instabilidade',negativo
'depois q digita a senha de acesso o programa fecha sozinho',negativo
'depois que atualizei ele não aparece o campo para colocar a senha',negativo
'depois que atualizou sumiu o campo da senha',negativo
'depósito apenas por boleto e demora 5 dias para creditar',negativo
'desculpa desabafar aqui',negativo
'desde a ultima atualização o aplicativo não abre mais, o que está acontecendo',negativo
'desde ontem pede atualização e não',negativo
'desde que atualizou sumiu o campo senha não consigo usar também',negativo
'desde que baixei o app nunca consegui efetuar nenhum pagamento só o saldo',negativo
'desde sexta feira pra cá meu app não funciona direito',negativo
'desinstalei após instalar novamente não tem opção de entrar com digital',negativo
'desinstalei o aplicativo e instalei e nada',negativo
'desinstalei o aplicativo e instalei novamente por umas 3 vezes e nada',negativo
'desliguei e nada de funcionar',negativo
'detestei coloco meus dados e tudo mais e não conecta com a administradora do cartão',negativo
'deveria aceitar depósito nos caixas eletrônicos, ou agências',negativo
'deveria atualizar em tempo real',negativo
